state_cluster,state_label,state_category,marker_stub,top_markers
0,KC0 Basal KC,Basal KC,COL17A1/ITGB1,"COL17A1, ITGB1, DST, KRT14, KRT15, KRT5, S100A2, CAV1, LIMA1, CTNNAL1"
1,KC1 Unclassified KC,Unclassified KC,RPS18/RPS19,"RPS18, RPS19, RPL26, RPS2, RPS8, RPL37A, RPS14, RPL36A, RPL32, RPL13"
10,KC10 Mesenchymal-like KC,Mesenchymal-like KC,HPGD/FTH1,"HPGD, FTH1, SRGN, HPGDS, TPSAB1, TPSB2, VIM, FTL, LGALS3, MT-CYB"
2,KC2 Stress-response KC,Stress-response KC,DMKN/KRT1,"DMKN, KRT1, PERP, RHOV, KRT10, DSG1, LY6D, EMP2, BTG2, NRARP"
3,KC3 Differentiated KC,Differentiated KC,S100A14/SFN,"S100A14, SFN, PHLDA2, AQP3, DRAP1, S100A11, MPZL2, LYPD3, CEBPB, PRSS3"
4,KC4 Junctional KC,Junctional KC,MACF1/PARD3,"NEAT1, MACF1, PARD3, MAST4, ERC1, TIAM1, EXOC6B, SGMS1, ABLIM1, CHD2"
5,KC5 Myeloid-like contaminant,Myeloid-like contaminant,VIM/DCN,"VIM, DCN, COL6A2, CFD, MGP, COL1A2, GSN, CCDC80, S100A6, COL1A1"
6,KC6 Cycling KC,Cycling KC,ASPM/MKI67,"ASPM, MKI67, TPX2, DIAPH3, PTTG1, CENPF, STMN1, HMGB1, CENPW, TOP2A"
7,KC7 Immune-like contaminant,Immune-like contaminant,PTPRC/SRGN,"PTPRC, SRGN, SAMSN1, FYN, SARAF, CXCR4, ARHGDIB, CNOT6L, IL32, CDC42SE2"
8,KC8 KRT7/KRT18-like KC,KRT7/KRT18-like KC,CHCHD10/COX4I1,"CHCHD10, COX4I1, GPX4, ATP5MC3, KRT7, PEBP1, NDUFA4, TPD52L1, PRDX2, PPDPF"
9,KC9 Myeloid-like contaminant,Myeloid-like contaminant,CD74/MRC1,"CD74, MRC1, ZEB2, SRGN, MCTP1, PID1, INSIG1, HLA-DRA, FTL, FCER1G"
