threshold_gt,threshold_label,patient_id,patient_label,Normal_pct,LE_pct,delta_LE_minus_Normal_pp,paired_ttest_p
0,counts > 0,1,P1,49.65675057208238,47.05882352941176,-2.5979270426706194,
0,counts > 0,4,P4,39.335180055401665,34.12162162162162,-5.213558433780044,
0,counts > 0,6,P6,35.881104033970274,27.976190476190478,-7.904913557779796,
0,counts > 0,-1,All,41.62434488715144,36.38554520907462,-5.23879967807682,0.07591229564913639
1,counts > 1,1,P1,21.96796338672769,22.60061919504644,0.6326558083187521,
1,counts > 1,4,P4,12.65004616805171,11.5990990990991,-1.0509470689526097,
1,counts > 1,6,P6,12.526539278131635,6.845238095238096,-5.681301182893539,
1,counts > 1,-1,All,15.714849610970345,13.681652129794545,-2.0331974811757987,0.39410413911769515
2,counts > 2,1,P1,9.610983981693364,9.907120743034056,0.29613676134069244,
2,counts > 2,4,P4,4.43213296398892,3.040540540540541,-1.3915924234483792,
2,counts > 2,6,P6,2.547770700636943,1.488095238095238,-1.059675462541705,
2,counts > 2,-1,All,5.530295882106409,4.811918840556611,-0.7183770415497973,0.29861715231456476
3,counts > 3,1,P1,4.118993135011442,5.263157894736842,1.1441647597253999,
3,counts > 3,4,P4,1.9390581717451523,0.5630630630630631,-1.3759951086820892,
3,counts > 3,6,P6,1.48619957537155,0.8928571428571428,-0.5933424325144072,
3,counts > 3,-1,All,2.514750294042715,2.2396927002190155,-0.2750575938236988,0.7473070489568914
